rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0,3|0|0,1|1,592571|2,900596|2,514778|3,008614|4,515343|4,873130|3,261907|3,575013|4,515343
0,3|0|0,2|1,205288|2,819870|2,236195|2,747423|4,229400|5,014736|2,868118|3,279288|4,229400
0,3|0|0,3|1,081398|2,801714|1,908752|2,383068|3,785162|5,333132|2,285559|2,791210|3,785162
0,3|0|0,4|0,988021|2,932636|1,502829|1,834347|3,140336|6,012109|1,479571|1,955369|3,140336
0,3|0|0,5|0,962846|2,990341|1,411592|1,676526|2,945419|6,233485|1,314614|1,718592|2,945419
0,3|0|0,6|0,916591|2,971803|1,363028|1,574358|2,795545|6,350262|1,247667|1,571059|2,795545
0,3|0|0,7|0,914336|3,061165|1,356698|1,564701|2,789182|6,354057|1,244737|1,569295|2,789182
0,3|0|0,8|0,898313|3,252700|1,364601|1,577497|2,822890|6,466849|1,248651|1,529874|2,822890
0,3|0|0,9|0,919247|3,372111|1,324204|1,502306|2,718117|6,111991|1,227702|1,460216|2,718117
0,3|0|1|0,786295|2,764634|1,319797|1,492032|2,714526|6,449866|1,209171|1,598527|2,714526
0,3|0|1,1|0,799769|3,150711|1,376061|1,606114|2,843181|6,298134|1,267208|1,628886|2,843181
0,3|0|1,2|0,898396|3,538716|1,383509|1,628760|2,935397|6,370600|1,290380|1,587300|2,935397
0,3|0|1,3|0,922749|3,198388|1,294541|1,425695|2,580454|15,614130|1,209277|1,410299|2,580454
0,3|0|1,4|0,920768|3,305489|1,338801|1,489607|2,558785|6,543194|1,234212|1,412564|2,558785
0,3|0|1,5|0,898201|3,531806|1,270434|1,349336|2,459775|6,458843|1,197888|1,324415|2,459775
0,3|0|1,6|0,948021|3,261674|1,267993|1,193769|2,143703|10,914393|1,255827|1,121110|2,143703
0,3|0|1,7|0,966054|3,363603|1,286488|1,292153|2,304001|11,450126|1,224056|1,203421|2,304001
0,3|0|1,8|0,929977|3,841142|1,346264|1,551151|2,761180|6,380791|1,267303|1,538028|2,761180
0,3|0|1,9|0,934599|4,115238|1,341373|1,543656|2,700421|6,786055|1,292020|1,572714|2,700421
0,3|0|2|1,036559|4,270984|1,232102|1,206151|2,263844|12,962718|1,197306|1,137870|2,263844
0,3|0|2,1|0,921377|4,655640|1,340915|1,357645|2,077787|18,272737|1,312743|1,123784|2,077787
0,3|0|2,2|0,957552|5,012208|1,353794|1,144253|1,594916|4,854644|1,414479|1,129326|1,594916
0,3|0|2,3|0,886148|4,715810|1,308676|0,919356|1,475666|7,086960|1,459250|1,032449|1,475666
0,3|0|2,4|0,948206|4,263288|1,445349|1,731319|3,082844|6,176447|1,386561|1,692171|3,082844
0,3|0|2,5|1,120994|5,969844|1,193019|1,132486|2,140494|6,425795|1,202002|1,157418|2,140494
0,3|0|2,6|1,037315|5,745953|1,236454|1,266993|2,285447|11,698852|1,237095|1,305551|2,285447
0,3|0|2,7|0,910570|3,762982|1,368973|1,593512|2,838857|6,376915|1,270207|1,548569|2,838857
0,3|0|2,8|0,888064|4,769972|1,481015|1,773563|3,137482|6,259228|1,370594|1,612532|3,137482
0,3|0|2,9|1,052597|6,050259|1,307669|1,477346|2,690709|15,856741|1,253088|1,416764|2,690709
0,3|0|3|0,916611|4,940392|1,572390|1,916650|3,189648|6,495832|1,538770|1,792940|3,189648
0,3|0|3,1|0,947108|5,849928|1,334753|1,530183|2,874888|17,221110|1,272706|1,444357|2,874888
0,3|0|3,2|1,341543|5,285946|1,230928|1,044992|1,913362|6,954270|1,241218|1,032039|1,913362
0,3|0|3,3|2,534705|6,160362|1,363210|1,519424|2,376830|7,206675|1,322090|1,308168|2,376830
0,3|0|3,4|1,335270|6,765355|1,203711|1,235941|2,372722|8,083805|1,216850|1,272238|2,372722
0,3|0|3,5|1,518202|6,507431|1,234324|1,337133|2,594370|7,366601|1,224283|1,320907|2,594370
0,3|0|3,6|72,669180|10,122798|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|3,7|2,773002|6,441155|1,272868|1,415404|2,667859|7,157710|1,274913|1,428492|2,667859
0,3|0|3,8|68,387461|10,348568|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|3,9|72,419132|10,176495|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4|72,402045|10,176495|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,1|73,150597|9,991855|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,2|74,257870|10,176481|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,3|72,419139|10,176495|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,4|69,924778|10,454421|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,5|68,314988|10,348568|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,6|70,461375|10,348568|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,7|182,539130|9,929949|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,8|73,847979|10,869168|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,9|69,924566|10,448157|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
