indicators|argument|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
macd|1|1,153571|4,146492|1,402008|1,657436|2,909553|6,591068|1,331898|1,628072|2,909553
macd|2|0,880822|3,340396|1,266893|1,385765|2,550699|6,780436|1,209867|1,472117|2,550699
macd|3|0,931559|4,030441|1,346813|1,550417|2,914766|6,633541|1,292807|1,651041|2,914766
macd|4|1,071568|4,501637|1,286936|1,453537|2,708300|6,636477|1,276202|1,484517|2,708300
macd|5|0,962679|4,227490|1,317638|1,509469|2,803406|6,673614|1,254857|1,588575|2,803406
macd|6|1,004855|4,687371|1,376548|1,605668|2,958753|6,578937|1,337264|1,588902|2,958753
macd|7|1,140927|5,354247|1,360291|1,570036|2,938526|6,584352|1,339494|1,551889|2,938526
macd|8|1,112694|5,301117|1,424970|1,638081|3,048961|6,561697|1,398599|1,604639|3,048961
macd|9|1,007553|4,866117|1,300090|1,471878|2,658421|6,673992|1,255553|1,509395|2,658421
macd|10|0,992777|5,157411|1,350782|1,567960|2,868325|6,581884|1,322281|1,557393|2,868325
macd|11|0,925587|3,571105|1,449199|1,730353|2,967719|6,641445|1,299115|1,779168|2,967719
macd|12|1,001938|4,171889|1,274681|1,423849|2,801189|6,637888|1,292230|1,501487|2,801189
macd|13|1,050916|4,433295|1,409084|1,648891|3,057494|6,569691|1,353858|1,684099|3,057494
macd|14|0,960093|4,719909|1,357151|1,574790|2,742820|6,642794|1,299935|1,553077|2,742820
macd|15|0,891175|3,706220|1,273529|1,393079|2,673904|6,868984|1,174271|1,558953|2,673904
macd|16|1,029976|5,407639|1,551120|1,775782|3,247443|6,540228|1,500476|1,703932|3,247443
macd|17|0,911072|4,490313|1,405520|1,633991|3,031665|6,635263|1,308211|1,691680|3,031665
macd|18|0,909841|3,657374|1,279099|1,428655|2,662133|6,733742|1,224144|1,504433|2,662133
macd|19|0,951945|4,507318|1,294681|1,444206|2,772443|6,726015|1,242225|1,550141|2,772443
macd|20|1,039441|5,234162|1,342084|1,555460|2,867693|6,590914|1,314305|1,554785|2,867693
macd|21|1,079519|4,820271|1,501909|1,767830|3,168863|6,540037|1,417768|1,693488|3,168863
macd|22|1,013230|5,103927|1,294681|1,446485|2,712599|6,648939|1,284505|1,470305|2,712599
macd|23|1,156214|5,536942|1,335179|1,540668|2,775209|6,632323|1,292385|1,503778|2,775209
macd|24|0,825898|3,618448|1,298227|1,466123|2,677842|6,708411|1,239815|1,530007|2,677842
macd|25|0,859826|4,462847|1,285409|1,439174|2,716460|6,733679|1,224301|1,527176|2,716460
macd|26|0,925238|4,773649|1,399811|1,644963|2,998790|6,577552|1,337262|1,640801|2,998790
macd|27|0,877859|4,143502|1,351475|1,562031|2,732596|6,655303|1,288168|1,586340|2,732596
macd|28|0,914351|4,520171|1,443334|1,677746|3,089414|6,566723|1,388083|1,665891|3,089414
macd|29|0,819417|3,747968|1,329584|1,525048|2,798078|6,694541|1,246621|1,609670|2,798078
oscil|0|0,932489|3,938643|1,311256|1,501676|2,795509|6,502540|2,018743|1,519808|2,795509
oscil|1|0,948888|3,957908|1,286521|1,445292|2,650321|6,794274|1,398320|1,518638|2,650321
oscil|2|1,349363|6,303199|1,293023|1,454689|2,739856|6,665139|1,330024|1,459357|2,739856
oscil|3|1,214237|6,267794|1,312078|1,483697|2,792471|6,415956|1,345532|1,474465|2,792471
oscil|4|0,949109|3,660428|1,317282|1,502253|2,736065|6,570324|1,701578|1,522571|2,736065
oscil|5|1,149440|5,002038|1,368551|1,601030|2,879791|6,493271|1,725386|1,519068|2,879791
oscil|6|1,072062|4,261464|1,452614|1,744773|2,779757|7,163845|1,522264|1,536840|2,779757
oscil|7|1,051195|5,009479|1,308580|1,475617|2,016654|7,041676|1,583727|1,490076|2,016654
oscil|8|0,960134|4,295288|1,270626|1,429994|2,285073|7,582687|1,345470|1,472837|2,285073
oscil|9|0,906164|3,918730|1,232614|1,268462|1,986152|15,568920|1,398687|1,315851|1,986152
oscil|10|1,038183|3,681413|1,249866|1,366522|2,479920|6,630258|1,294250|1,409985|2,479920
oscil|11|1,015170|3,493890|1,236783|1,338864|2,468473|6,810532|1,247839|1,402605|2,468473
oscil|12|1,191536|5,553655|1,332490|1,186826|1,733109|7,066734|1,318158|1,200941|1,733109
oscil|13|1,249158|5,269010|1,230390|1,327561|2,338984|6,733753|1,325863|1,353484|2,338984
oscil|14|1,099678|4,946684|1,258072|1,155166|1,861056|7,460528|1,364741|1,110014|1,861056
oscil|15|1,124116|4,917181|1,488150|1,814470|2,913383|6,944837|1,531505|1,914740|2,913383
oscil|16|0,984641|3,810135|1,395562|1,620096|2,788607|6,769760|1,477121|2,025382|2,788607
oscil|17|0,951943|3,775877|1,385904|1,584834|2,640754|7,129418|1,421038|2,184570|2,640754
oscil|18|1,045270|5,064490|1,310117|1,496289|2,824927|6,355676|1,287787|1,475923|2,824927
oscil|19|0,967143|4,607492|1,269194|1,419325|2,724236|6,275256|1,236933|1,383811|2,724236
oscil|20|1,077695|4,769435|1,359229|1,541089|2,735464|6,507095|1,338997|1,595617|2,735464
oscil|21|1,228583|4,298133|1,394938|1,587933|2,947368|6,289269|1,323933|1,643125|2,947368
oscil|22|0,979524|4,300942|1,237084|1,160560|1,722745|7,880668|1,292149|1,158992|1,722745
oscil|23|1,072426|5,130248|1,249777|1,352681|2,346981|18,042823|1,188976|1,315366|2,346981
oscil|24|0,972928|4,526880|1,308934|1,487304|2,682840|6,758732|1,244634|1,516894|2,682840
oscil|25|1,023502|4,726431|1,362272|1,578302|2,925529|6,370215|1,319602|1,554222|2,925529
oscil|26|1,126098|4,362656|1,277628|1,397046|2,635210|6,981205|1,241940|1,432208|2,635210
oscil|27|1,129684|5,765628|1,331172|1,417485|2,794345|6,604074|1,373928|1,407083|2,794345
oscil|28|0,969996|5,287835|1,266873|1,376452|2,573065|6,781331|1,273973|1,357797|2,573065
oscil|29|1,319131|4,963455|1,269946|1,333650|2,505071|6,540535|1,259263|1,265183|2,505071
