window|hide layer 1|hyde layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|14|6|1,573710|6,885159|10,603382|11,112697|11,294603|11,958281|14,745132|15,309513|11,294603
2|14|7|1,541341|6,206615|8,678318|9,151754|9,804673|11,951240|14,447350|14,816058|9,804673
2|14|8|1,555596|4,934743|7,176457|7,676979|8,338061|11,938140|14,031503|13,991724|8,338061
2|14|9|1,513752|6,436399|9,400689|9,905965|10,702594|12,117867|16,128592|17,281436|10,702594
2|14|10|1,554452|5,469559|7,718215|8,221305|8,915626|11,963219|14,448318|14,645967|8,915626
2|14|11|1,553309|5,402492|8,205830|8,685605|9,297714|11,948432|14,409152|14,759547|9,297714
2|14|12|1,549330|5,919786|7,995420|8,494282|9,046179|12,061057|15,388539|15,991160|9,046179
2|14|13|1,579378|5,536819|8,372933|8,859617|9,402051|11,992877|14,792556|15,109223|9,402051
2|14|14|1,528751|5,221639|6,919916|7,423705|7,980206|11,964423|14,286984|14,244329|7,980206
2|14|15|1,515559|5,858118|8,387021|8,883163|9,595994|11,978537|14,670618|15,005388|9,595994
2|15|1|2,123117|12,662362|16,977181|17,438644|18,878541|12,209565|16,830941|17,715482|18,878541
2|15|2|1,621880|6,657018|9,277081|9,773672|10,312238|12,138196|16,544031|18,467605|10,312238
2|15|3|1,544273|6,264445|8,264820|8,776141|9,315510|12,095620|15,734502|16,602705|9,315510
2|15|4|1,548728|6,228017|8,608641|9,085049|9,580444|12,078859|15,554684|16,214165|9,580444
2|15|5|1,578598|6,291292|8,763643|9,255490|9,822227|12,110758|16,003323|17,207743|9,822227
2|15|6|1,550377|6,711707|9,051072|9,556186|10,163750|12,112273|16,015601|17,139012|10,163750
2|15|7|1,548232|5,199131|7,621787|8,101553|8,672303|11,950828|14,341936|14,533976|8,672303
2|15|8|1,634081|5,093137|7,828104|8,330846|9,076168|11,942530|14,321367|14,613990|9,076168
2|15|9|1,554476|5,619372|8,268449|8,757143|9,418879|11,963156|14,624220|15,062827|9,418879
2|15|10|1,559728|5,794731|8,522206|9,021781|9,670861|11,996668|15,106019|15,782476|9,670861
2|15|11|1,546738|6,217742|9,071963|9,535880|10,178087|11,975909|14,768416|15,234102|10,178087
2|15|12|1,564488|5,759395|7,356061|7,863005|8,406850|11,986314|14,580448|14,727867|8,406850
2|15|13|1,572560|5,630861|7,768934|8,279758|8,972827|11,984440|14,694019|14,982853|8,972827
2|15|14|1,568490|5,584557|8,078138|8,546177|9,118634|11,927534|14,020871|14,246546|9,118634
2|15|15|1,563758|5,414578|8,083482|8,564780|9,125042|11,958336|14,577062|15,014109|9,125042
3|1|1|2,696464|7,780303|10,062883|10,605562|11,636073|12,050872|15,572802|16,366500|11,636073
3|1|2|1,928199|11,330197|15,050530|15,537565|16,821512|12,257585|16,906774|18,016145|16,821512
3|1|3|1,899453|7,678344|9,530217|10,065518|10,839453|12,136408|15,703721|16,183434|10,839453
3|1|4|2,112052|8,848039|11,528461|12,041489|13,039120|12,179222|16,139039|16,877231|13,039120
3|1|5|2,095791|10,194319|13,173007|13,677313|14,790028|12,161847|16,429311|17,589903|14,790028
3|1|6|1,879045|7,048352|8,663411|9,223030|10,065508|12,095096|15,400202|15,730650|10,065508
3|1|7|1,629754|5,355458|5,832600|6,393957|6,645638|12,071493|15,278105|15,529339|6,645638
3|1|8|2,103397|8,809406|11,104356|11,624582|12,556096|12,119503|15,892515|16,679448|12,556096
3|1|9|1,672142|7,007450|8,169757|8,728831|9,290606|12,117660|15,491569|15,833375|9,290606
3|1|10|2,301153|10,128582|13,490434|14,016956|15,459840|12,154735|16,189559|17,015509|15,459840
3|1|11|2,551321|10,814392|13,930702|14,433869|15,814601|12,073066|15,830304|16,703546|15,814601
3|1|12|2,410785|11,965098|16,020920|16,497997|18,020942|12,190791|16,528981|17,398348|18,020942
3|1|13|2,274063|10,346717|12,703057|13,196778|14,338806|12,004722|15,443045|16,635342|14,338806
3|1|14|2,679641|10,628436|12,488882|12,992783|14,341060|11,926974|14,352527|15,070489|14,341060
3|1|15|2,223704|9,713817|12,470735|12,975169|14,090908|12,106289|16,054122|17,144430|14,090908
3|2|1|1,767455|8,654301|13,090845|13,573839|14,947340|12,245806|18,520270|21,755539|14,947340
3|2|2|1,619548|6,005036|7,666184|8,212221|8,807720|12,172671|16,401170|17,538364|8,807720
3|2|3|1,557821|5,261281|7,753185|8,288089|9,017730|12,305651|19,044937|19,816917|9,017730
3|2|4|1,546521|5,261058|7,508865|8,044106|8,711828|12,212566|17,087262|17,857369|8,711828
3|2|5|1,561741|5,880554|8,287879|8,826972|9,499471|12,350308|18,589567|20,793790|9,499471
3|2|6|1,611510|5,223515|7,066852|7,620934|8,319767|12,232271|17,780756|18,513029|8,319767
3|2|7|1,593379|6,054734|7,289385|7,840120|8,178352|12,208077|16,558953|18,222083|8,178352
3|2|8|1,589487|5,059363|6,106071|6,656425|7,190466|12,070405|15,337992|15,206637|7,190466
3|2|9|1,540692|5,199113|6,886027|7,442152|8,031008|12,197017|17,137242|17,910685|8,031008
3|2|10|1,611142|5,874407|7,029050|7,592900|8,083155|12,134224|16,030336|16,898161|8,083155
3|2|11|1,601604|4,738920|5,639881|6,199498|6,659510|12,139995|16,209518|16,068980|6,659510
3|2|12|1,523165|3,543698|2,897756|3,439439|3,656212|11,777659|10,342661|9,191522|3,656212
3|2|13|1,562981|5,728779|7,074434|7,630227|8,125039|12,166998|16,313527|17,355902|8,125039
3|2|14|1,682324|6,494833|7,614427|8,175280|8,790992|12,088786|15,159823|15,244514|8,790992
3|2|15|1,550108|5,104574|5,832511|6,411141|6,883606|12,073109|15,613985|15,853430|6,883606
