rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0,3|0|1,1|1,416263|2,925294|1,710694|2,168161|3,386345|19,015795|3,001163|3,589837|3,386345
0,3|0|1,2|1,726357|5,476622|2,244721|2,883248|3,940974|17,167343|7,212502|6,380918|3,940974
0,3|0|1,3|1,763749|6,487934|2,022090|2,627117|3,452176|23,061872|7,656297|6,919643|3,452176
0,3|0|1,4|1,458354|4,219677|2,093405|2,667588|3,635669|17,721244|6,627626|6,622582|3,635669
0,3|0|1,5|1,588007|4,948028|2,576862|3,153334|4,167630|19,323624|10,033101|10,243848|4,167630
0,3|0|1,6|1,533527|5,269206|1,953609|2,500865|3,126365|19,381768|7,165721|7,306424|3,126365
0,3|0|1,7|1,536786|4,338754|2,295654|2,885171|3,709174|18,082931|7,786212|7,524334|3,709174
0,3|0|1,8|1,774072|7,599204|2,523528|1,487067|0,037259|23,635573|4,632321|2,136307|0,037259
0,3|0|1,9|1,850899|7,600494|6,235942|6,954032|8,234194|11,849521|12,669809|11,207671|8,234194
0,3|0|2|1,739976|7,506948|9,214296|9,935247|10,922056|14,889142|14,640261|14,709015|10,922056
0,3|0|2,1|1,849273|8,286798|4,545126|5,448576|5,610293|17,547708|13,290796|12,292186|5,610293
0,3|0|2,2|1,735707|7,693902|11,110582|11,664684|12,954101|13,405548|15,050036|16,286032|12,954101
0,3|0|2,3|1,807065|6,148151|5,410625|6,108332|6,606558|14,938251|13,410609|13,259978|6,606558
0,3|0|2,4|1,899724|12,033841|15,146379|15,702424|17,231563|12,271218|16,034866|16,691831|17,231563
0,3|0|2,5|2,028934|12,471834|14,878309|15,427785|16,837394|12,509465|15,557565|16,726026|16,837394
0,3|0|2,6|2,006150|12,083015|14,329989|14,931555|16,255597|12,371504|15,635969|16,473503|16,255597
0,3|0|2,7|2,212594|11,644732|13,494606|14,069715|15,409807|12,461152|15,258438|16,632563|15,409807
0,3|0|2,8|1,892261|12,044648|14,978867|15,561126|16,922099|12,166556|15,463049|15,962845|16,922099
0,3|0|2,9|1,842448|11,687026|13,952092|14,459530|16,118751|12,803060|14,396436|14,746481|16,118751
0,3|0|3|2,195801|12,096148|13,568230|14,152878|15,595820|12,257709|15,007711|16,050295|15,595820
