window|hide layer 1|hide layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|13|20|0,943591|6,867534|5,357234|6,197139|6,750258|22,307764|25,379593|20,670177|6,750258
2|14|1|1,215874|13,638214|14,246941|15,342633|16,940846|23,026817|28,803092|26,202796|16,940846
2|14|2|1,005180|7,983703|5,447357|6,260326|6,495459|23,002924|26,671756|22,464390|6,495459
2|14|3|0,815000|8,763161|7,784728|8,578622|8,970301|22,986505|27,570363|23,946576|8,970301
2|14|4|0,792552|10,587313|11,233798|12,118429|13,069055|21,912832|27,420297|24,649825|13,069055
2|14|5|0,856265|6,416926|4,711639|5,441983|5,705479|22,433971|24,714025|19,703930|5,705479
2|14|6|0,843795|7,466943|5,727006|6,513041|7,048343|23,046295|25,706638|20,424995|7,048343
2|14|7|0,783334|7,997214|7,189682|8,040043|9,143926|22,494755|25,679891|20,609725|9,143926
2|14|8|0,851682|14,101034|13,683686|14,817289|16,193764|23,060987|29,133987|26,931928|16,193764
2|14|9|0,824890|6,339324|4,233243|4,946464|5,684291|22,582058|22,677746|15,824460|5,684291
2|14|10|0,996886|8,303875|4,260183|5,047588|6,069102|22,839395|23,719419|17,471402|6,069102
